ResponseCode,Failure Type,Exception,Description
59908008,Validation,ULinkCreditCardAlreadyAddedException,This response code is returned if the user tries to add a credit card more than once in the same day. No matter if the credit card is active or not.
59908009,Validation,ULinkDebitCardAlreadyAddedException,This response code is returned if the user tries to add a debit card more than once in the same day. No matter if the debit card is active or not.
59908010,Validation,ULinkCVVNotMatchException,This response code returns if cvv does not match on the payment processor.
59908011,Validation,ULinkAVSNotMatchException,This response code is returned if AVS (Address verification system) does not match the payment processor.
59908012,Validation,ULinkUserBankAccountLockedException,This response code is returned if the user's bank account is locked.
59908014,Validation,ULinkUserCreditCardLockedException,This response code is returned if the user's credit card is locked.
59908019,Validation,ULinkUserDebitCardLockedException,This response code is returned if the user's debit card is locked.
59908015,Validation,ULinkUserBankAccountNotAllowedException,This response code is returned if user's tries to verify a bank account which is not allowed.
59908016,Validation,ULinkUserDebitCardNotAllowedException,This response code is returned if user's tries to verify a Debit card which is not allowed.
59908017,Validation,ULinkUserCreditCardNotAllowedException,This response code is returned if user's tries to verify a credit card which is not allowed.
50105003,Validation,ULinkUserNotActiveException,This response code is returned if the user's profile is not active/provisional active at the time of login.
50105004,Validation,ULinkUserSuspendedOrLockedException,This response code returns if the user's profile is suspended or locked at the time of login.
50107002,Validation,ULinkUserTempPasswordNeedToBeChangedException,This response code is returned if the user's temporary password needs to be changed.
50107006,Validation,ULinkUserSecurityAnswerNotMatchException,This response code is returned if the user's provided security answer doesn't match.
51103001,Validation,ULinkInvalidTxnNumberException,This response code is returned if the provided transaction number is invalid.
59903006,Validation,ULinkInvalidCountryNumberException,This response code is returned if the provided country number is invalid.
59903007,Validation,ULinkInvalidCurrencyException,This response code is returned if provided currency is invalid.
59903008,Validation,ULinkInvalidPayerException,This response code is returned if the provided payer is invalid.
51103002,Validation,ULinkInvalidTxnInternalReferenceException,This response code returned if provided transaction internal reference is invalid.
59902004,Validation,ULinkSendingMethodAlreadyVerifiedException,This response code returns if it tries to verify an already verified sending method.
51104011,Validation,ULinkCancellationNotAllowedException,This response code is returned if cancellation is not allowed for a particular time period.
51102004,Validation,ULinkTxnAlreadyCancelledException,"This response code returned if tries to cancel, an already cancelled transaction"
51102005,Validation,ULinkTxnCancellationPendingException,This response code is returned if a request has been received and sent to the partner bank. A notification of cancellation will be received later.
51104012,Validation,ULinkTxnNotInPendingStatusException,This response code is returned if it tries to cancel and the transaction is in PAID or other status.
51104013,Validation,ULinkTxnDoesNotExistException,"This response code is returned if tries to cancel, and Transaction does not exist"
50107007,Validation,ULinkUserAlreadyExistsException,This response code is returned if someone tried to sign up with an already existing email address/user id.
50108001,Validation,ULinkUserPersonalInfoNotCompletedException,This response code is returned if the user tries to verify his information without completing his/her personal info.
50105007,Validation,ULinkUserOnlyOneWayToProvideDocumentsException,This response code is  returned if the user has only one way to provide documents to verify his information.
50105008,Validation,ULinkPayerRequiresBranchInfoException,"This response code is returned, if the payer passed in request requires its branch information also."
51107001,Validation,ULinkTxnInPaymentProcessingException,"This response code is returned, if a transaction exists in payment processing."
59905001,Validation,ULinkApplicationMustBeUpdatedException,This response code returns when the application must be required to update.
59902005,Validation,ULinkPinRequiredException,This response code is  returned when the uLink pin is required.
59902901,Validation,ULinkApplicationMustBeUpdatedException,This response code is returned when the application is required to update.
50202001,Validation,ULinkDocumentImageRequiredException,This response code returned when the document image required verifying your information verification.
50201002,Validation,ULinkDocumentVerificationUnderReviewException,This response code is returned when document verification is under review.
50205002,Validation,ULinkDocumentVerificationByUnitellerCustomerCareException,This response code returned when document verification would be done by UniTeller customer care.
51107002,Validation,ULinkTxnCaughtInVelocityRulesException,This response code returned when the transaction caught in velocity rules.
50107008,Validation,ULinkUserAlreadyLoginException,This response code returns if the user is already login with the same or other device and tries to login again.
59905002,Validation,ULinkMFARequiredException,MFA required.
59905003,Validation,ULinkBeneAdditionalFieldRequiredException,Beneficiary additional field required.
59905004,Validation,ULinkTxnAdditionalFieldRequiredException,Transaction additional field required.
50107001,Validation,ULinkRemitterPasswordResetRequiredException,Remitter Password Reset Required.
59905001,Validation,ULinkNeedToUpdateAppException,Need to update the App.
