S.No.,API Name,URI,Ulink Response Code,New Response Code
29,DestCountryWithCurrency,/UTLROnlineRemitAPI/Common/DestCountryWithCurrency,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
30,PayerWithReceptionMethodsList," /UTLROnlineRemitAPI/Common/v2/PayerWithReceptionMethodsList
",00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903006,
,,,59903007,
,,,,
31,PayerBranches,/UTLROnlineRemitAPI/Common/PayerBranches,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903006,
,,,59903007,
,,,59903008,
,,,,
32,getPayerDetails(),/UTLROnlineRemitAPI/Common/PayerDetails,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903008,
,,,,
33,PayerAdditionalFields,"/UTLROnlineRemitAPI/Common/v2/PayerAdditionalField
",00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,59903008,
,,,59903006,
,,,59903007,
,,,,
34,SyncTxStatus,/UTLROnlineRemitAPI/Common/SyncTxStatus,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,51103001,
,,,59902003,
,,,,
35,StateDisclaimer,/UTLROnlineRemitAPI/Common/StateDisclaimer,00000000,
,,,59906002,
,,,59903005,
,,,50103003,
,,,59903001,
,,,,
36,Transaction Search,/UTLROnlineRemitAPI/Remittance/transactions/search,,
