ErrorCode,Failure Type,Description,NewErrorCode, Exception Class Name
59908015,Validation,This response code returned if user's tries to verify a bank account which is not allowed.,6087, ULinkBankAccountNotAllowedException
59908016,Validation,This response code returned if user's tries to verify a Debit card which is not allowed.,6088, ULinkDebitCardNotAllowedException
59908017,Validation,This response code returned if user's tries to verify a credit card which is not allowed.,6089, ULinkCreditCardNotAllowedException
50105003,Validation,This response code returned if user's profile is not active/provisional active at the time of login.,6013, ULinkProfileNotActiveException
50105004,Validation,This response code returned if user's profile is suspended or locked at the time of login.,6014, ULinkProfileSuspendedException
50107002,Validation,,6018, ULinkUserTempPasswordNeedToBeChangedException
50107006,Validation,This response code returned if user's provided security answer doesn't match.,6021
51103001,Validation,This response code returned if provided transaction number is invalid.,6035
59903006,Validation,This response code returned if provided country number is invalid.,6062
59903007,Validation,This response code returned if provided currency is invalid.,6063
59903008,Validation,This response code returned if provided payer is invalid.,6064
51103002,Validation,This response code returned if provided transaction internal reference is invalid.,6036
59902004,Validation,"This response code returned if tries to verify, an already verified sending method.",6055
51104011,Validation,This response code returned if cancellation is not allowed for a particular time period.,6047
51102004,Validation,"This response code returned if tries to cancel, an already cancelled transaction",6031
51102005,Validation,This response code returned if request has been received and sent to partner bank. A notification of cancellation will be received later.,6032
51104012,Validation,This response code returned if tries to cancel and transaction is in PAID or other status.,6048
51104013,Validation,"This response code returned if tries to cancel,",6049
50107007,Validation,This response code returned if someone tried to sign up with already existing email address/user id.,6022
50108001,Validation,This response code returned if user tries to verify his information without completing his/her personal info.,6024
50105007,Validation,This response code returned if user has only way to provide documents to verify his information.,6016
50105008,Validation,"This response code is returned, if payer passed in request requires its branch information also.",6017
51107001,Validation,"This response code is returned, if transaction exists in payment processing.",6050
59905001,Validation,This response code returned when application must be required to update.,6065
59902005,Validation,This response code returned when uLink pin is required.,6056
59902901,Validation,This response code returned when application is required to update.,6057
50202001,Validation,This response code returned when document image required verifying your information verification.,6027
50201002,Validation,This response code returned when document verification is in under review.,6026
50205002,Validation,This response code returned when document verification would be done by UniTeller customer care.,6028
51107002,Validation,This response code returned when transaction caught in velocity rules.,6051
50107008,Validation,This response code returns if user is already login with same or other device and tries to login again.,6023
59905002,Validation,MFA required.,6066
59905003,Validation,Beneficiary additional field required.,6067
59905004,Validation,Transaction additional field required.,6068
59905001,Validation,Need to update the App.,6065
59908023,Validation,This response code is returned when we try to add more than two contacts for a particular biller in a day.,6091
59908024,Validation,This response code is returned when we try to add more than two contacts for a particular biller in a month.,6092
59908025,Validation,This response code is returned when we try to add more than two biller for a particular contact in a day.,6093
59908026,Validation,This response code is returned when we try to add more than two biller for a particular contact in a month.,6094
59908027,Validation,This response code is returned when the request for the duplicate contact of the particular biller is received.,6095
19903009,Validation,Invalid Verification Token,6096
19906002,Validation,Service Not available,6097
